"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\pages\CommunitiesLanding.page","1","90","VfCsrf","Avoid calling VF action upon page load","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_visualforce_security.html#vfcsrf","Security","pmd"
"2","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\pages\CommunitiesLogin.page","1","75","VfCsrf","Avoid calling VF action upon page load","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_visualforce_security.html#vfcsrf","Security","pmd"
"3","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\BenchConsultant.cls","15","56","ApexSOQLInjection","Avoid untrusted/unescaped variables in DML query","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexsoqlinjection","Security","pmd"
"4","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\ClientRevenue.cls","40","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"5","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\ClientRevenue.cls","75","51","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\ClientRevenue.cls","85","55","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"7","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Client_Score_Report.cls","43","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"8","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Dashboard.cls","38","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"9","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\Dashboard.cls","63","55","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"10","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\File.cls","5","48","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"11","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\File.cls","24","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"12","3","C:\SATS Application GitHub\SATS-Application\force-app\main\default\classes\File.cls","113","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
